id,title,link,description,pubDate,source_id,category,country,language
1,"Rủ nhau lập nhóm kín trên mạng rồi hẹn nhau đua xe, ""trêu"" công an",https://giadinh.suckhoedoisong.vn/ru-nhau-lap-nhom-kin-tren-mang-roi-hen-nhau-dua-xe-treu-cong-an-172230330073206992.htm,"GĐXH - Các đối tượng lập nhóm kín trên mạng xã hội, tụ tập thành nhóm sử dụng xe mô tô tháo biển kiểm soát lạng lách, đánh võng, phóng nhanh, chống đối lực lượng thực thi công vụ.",2023-03-30 04:07:00,giadinhsuckhoedoisong,sports,Vietnam,Vietnamese
2,"NSƯT Việt Hoàn: 60 tuổi giã từ sân khấu, ấp ủ xây nhà dưỡng lão nghệ sĩ",https://giadinh.suckhoedoisong.vn/nsut-viet-hoan-60-tuoi-gia-tu-san-khau-ap-u-xay-nha-duong-lao-nghe-si-172230329155229257.htm,"Tôi muốn khán giả sẽ nhớ về một Việt Hoàn ở quãng thời gian mà hình ảnh mình đẹp nhất, hát hay nhất, nhiệt huyết nhất. Vì thế, tôi đã chuẩn bị tất cả mọi thứ để sẵn sàng dừng hát ở tuổi 60, NSƯT Việt Hoàn tâm sự.",2023-03-30 04:00:00,giadinhsuckhoedoisong,sports,Vietnam,Vietnamese
3,Hazard trên đường tới Fenerbahce,https://bongdaplus.vn/tin-chuyen-nhuong/hazard-tren-duong-toi-fenerbahce-3948522303.html,"Tương lai của tiền vệ Eden Hazard đang dần sáng tỏ, khi đội bóng Thổ Nhĩ Kỳ Fenerbahce muốn ký hợp đồng với bệnh binh dài hạn của Real Madrid.",2023-03-30 03:59:53,bongdaplus,sports,Vietnam,Vietnamese
4,Muốn con phát triển trí não ngay từ những ngày đầu đời: Cần bổ sung dinh dưỡng ra sao?,https://giadinh.suckhoedoisong.vn/muon-con-phat-trien-tri-nao-ngay-tu-nhung-ngay-dau-doi-can-bo-sung-dinh-duong-ra-sao-172230330101614217.htm,"90% kích thước não bộ của trẻ phát triển trong giai đoạn từ 0-5 tuổi, đặc biệt 1000 ngày đầu đời là giai đoạn vàng để phát triển trí não. Tuy nhiên, nhiều cha mẹ chỉ chú trọng bổ sung các dưỡng chất nuôi dưỡng não bộ cho trẻ khi trẻ ở tuổi đi học, khi con kém tập trung, chậm tiếp thu hoặc có kết quả kém ở trường, như vậy là quá muộn.",2023-03-30 03:51:00,giadinhsuckhoedoisong,sports,Vietnam,Vietnamese
5,Thảo Nhi thất vọng 'không nói nên lời' khi mất suất dự thi Miss Universe,https://giadinh.suckhoedoisong.vn/thao-nhi-that-vong-khong-noi-nen-loi-khi-mat-suat-du-thi-miss-universe-172230330100909826.htm,"GĐXH - Á hậu Thảo Nhi bày tỏ: ""Thực sự mọi thứ đến với Nhi quá bất ngờ...Có chút thất vọng, chút buồn vì Nhi thực sự muốn đại diện cho Việt Nam, mang hình ảnh của người phụ nữ Việt đến với đấu trường Miss Universe"".",2023-03-30 03:44:00,giadinhsuckhoedoisong,sports,Vietnam,Vietnamese
6,Dùng kéo truy sát em họ vì “rủ nhậu nhưng không trả lời”,https://giadinh.suckhoedoisong.vn/dung-keo-truy-sat-em-ho-vi-ru-nhau-nhung-khong-tra-loi-172230330084539679.htm,"Gọi điện thoại rủ nhậu nhưng em họ không trả lời nên Hữn cầm kéo dài 16cm đi tìm, đâm nhiều nhát vào đầu người này.",2023-03-30 03:29:00,giadinhsuckhoedoisong,sports,Vietnam,Vietnamese
7,"Sử dụng rượu ngâm quả thuốc phiện, tài xế dương tính với ma tuý, bị CSGT tuýt còi",https://giadinh.suckhoedoisong.vn/su-dung-ruou-ngam-qua-thuoc-phien-tai-xe-duong-tinh-voi-ma-tuy-bi-csgt-tuyt-coi-172230330095352279.htm,"GĐXH - Sáng ngày 30/3, Cục CSGT (C08) cho biết, tổ công tác thuộc C08 và Phòng Cảnh CSGT công an tỉnh Sơn La vừa phát hiện lái xe khách vi phạm nồng độ cồn và dương tính với chất ma tuý.",2023-03-30 03:23:00,giadinhsuckhoedoisong,sports,Vietnam,Vietnamese
8,Biết thân thế của người yêu em chồng mà cả nhà chán nản,https://giadinh.suckhoedoisong.vn/biet-than-the-cua-nguoi-yeu-em-chong-ma-ca-nha-chan-nan-17223032921224932.htm,"Em ấy còn trẻ, tương lai tươi sáng phía trước, sau này mà hối hận thì cũng đã muộn, nhưng tôi không biết phải khuyên nhủ ra sao.",2023-03-30 03:22:00,giadinhsuckhoedoisong,sports,Vietnam,Vietnamese
9,"Hoa hậu Áo dài Đàm Lưu Ly thập niên 90: Theo đuổi nghề tiếp viên hàng không vì bố, hôn nhân giấu kín",https://giadinh.suckhoedoisong.vn/hoa-hau-ao-dai-dam-luu-ly-thap-nien-90-theo-duoi-nghe-tiep-vien-hang-khong-vi-bo-hon-nhan-giau-kin-172230330095619076.htm,"GĐXH - Đàm Lưu Ly đăng quang Hoa hậu Áo dài năm 1995. Sau đó, chị theo đuổi công việc tiếp viên hàng không và hiện tại có cuộc sống bình yên bên con gái.",2023-03-30 03:16:00,giadinhsuckhoedoisong,sports,Vietnam,Vietnamese
10,"Quy định mới từ 1/4, COVID-19 vào danh mục bệnh nghề nghiệp hưởng bảo hiểm xã hội",https://giadinh.suckhoedoisong.vn/quy-dinh-moi-tu-1-4-covid-19-vao-danh-muc-benh-nghe-nghiep-huong-bao-hiem-xa-hoi-172230329204522435.htm,"GĐXH - Đây là một trong những nội dung mới tại Thông tư số 02/2023/TT-BYT, ngày 9/2/2023, của Bộ Y tế quy định về bệnh nghề nghiệp được hưởng bảo hiểm xã hội.",2023-03-30 03:01:00,giadinhsuckhoedoisong,sports,Vietnam,Vietnamese
