Key,Doc Num,Frequency,IDF
rủ,10,11,5.703782474656201
lập,32,36,4.54063166485052
kín,13,14,5.44141821018871
mạng,93,109,3.473768074496991
hẹn,7,8,6.060457418594933
đua,15,17,5.298317366548036
xe,124,206,3.1860860020452098
trêu,4,4,6.620073206530356
công_an,66,97,3.816712825623821
gđxh,97,97,3.431656589146864
đối_tượng,36,43,4.422848629194137
xã_hội,77,103,3.6625621457965627
tụ_tập,3,3,6.907755278982137
thành,86,109,3.552020271396739
mô_tô,2,2,7.313220387090301
tháo,6,11,6.214608098422191
biển,40,63,4.31748811353631
kiểm_soát,21,24,4.961845129926823
lạng_lách,2,2,7.313220387090301
đánh_võng,2,2,7.313220387090301
phóng,9,12,5.809142990314028
chống_đối,1,1,8.006367567650246
lực_lượng,42,46,4.268697949366879
thực_thi_công_vụ,1,1,8.006367567650246
nsưt,9,12,5.809142990314028
việt,262,343,2.43802306388915
hoàn,6,10,6.214608098422191
60,11,15,5.608472294851876
giã,3,3,6.907755278982137
sân_khấu,10,13,5.703782474656201
ấp_ủ,2,2,7.313220387090301
xây,16,20,5.233778845410465
dưỡng_lão,2,2,7.313220387090301
nghệ_sĩ,21,26,4.961845129926823
khán_giả,28,31,4.674163057475043
quãng,5,6,6.396929655216146
hình_ảnh,34,39,4.480007043034085
đẹp,73,94,3.7159081265018554
hát,10,13,5.703782474656201
nhiệt_huyết,1,1,8.006367567650246
sẵn_sàng,27,29,4.710530701645918
dừng,31,36,4.5723803631651005
tâm_sự,1,1,8.006367567650246
hazard,1,2,8.006367567650246
đường,88,119,3.5290307531720404
fenerbahce,1,2,8.006367567650246
tương_lai,33,43,4.509860006183766
tiền_vệ,17,18,5.173154223594031
eden,1,1,8.006367567650246
dần,26,28,4.748271029628765
sáng_tỏ,4,4,6.620073206530356
đội,54,63,4.017383521085972
bóng,44,57,4.222177933731985
thổ,3,4,6.907755278982137
nhĩ_kỳ,2,3,7.313220387090301
ký,30,31,4.605170185988092
hợp_đồng,26,31,4.748271029628765
bệnh_binh,1,1,8.006367567650246
dài_hạn,6,6,6.214608098422191
real,11,20,5.608472294851876
madrid,10,19,5.703782474656201
phát_triển,78,96,3.649658740960655
trí_não,1,2,8.006367567650246
đầu,124,143,3.1860860020452098
đời,27,32,4.710530701645918
bổ_sung,22,23,4.915325114291931
dinh_dưỡng,14,16,5.367310238034988
90,11,14,5.608472294851876
kích_thước,3,3,6.907755278982137
não,7,10,6.060457418594933
trẻ,85,104,3.56371631115993
giai_đoạn,34,41,4.480007043034085
0,44,72,4.222177933731985
5,170,226,2.870569130599985
1000,4,4,6.620073206530356
vàng,71,123,3.7436876906089314
cha_mẹ,8,13,5.926926025970411
chú_trọng,7,7,6.060457418594933
dưỡng_chất,4,4,6.620073206530356
nuôi_dưỡng,3,3,6.907755278982137
đi,193,226,2.743677378745361
học,41,56,4.292795500945939
kém,18,21,5.115995809754082
chậm,16,22,5.233778845410465
tiếp_thu,1,1,8.006367567650246
kết_quả,58,70,3.9459245571038273
trường,72,107,3.7297014486341915
muộn,12,14,5.521460917862246
thảo,4,7,6.620073206530356
nhi,10,19,5.703782474656201
thất_vọng,8,11,5.926926025970411
suất,15,22,5.298317366548036
dự,39,47,4.3428059215206005
thi,33,54,4.509860006183766
miss,8,10,5.926926025970411
universe,3,5,6.907755278982137
á_hậu,7,10,6.060457418594933
bày_tỏ,9,9,5.809142990314028
chút,4,5,6.620073206530356
buồn,7,7,6.060457418594933
đại_diện,32,37,4.54063166485052
việt_nam,249,315,2.488914671185539
phụ_nữ,48,62,4.135166556742356
đấu_trường,6,6,6.214608098422191
kéo,12,16,5.521460917862246
truy,1,1,8.006367567650246
sát,7,10,6.060457418594933
nhậu,3,5,6.907755278982137
trả_lời,18,19,5.115995809754082
gọi,45,50,4.199705077879927
điện_thoại,23,34,4.870873351721097
hữn,1,1,8.006367567650246
cầm,10,10,5.703782474656201
kéo_dài,12,14,5.521460917862246
16cm,1,1,8.006367567650246
đâm,17,21,5.173154223594031
nhát,2,2,7.313220387090301
rượu,7,8,6.060457418594933
ngâm,2,2,7.313220387090301
thuốc_phiện,1,1,8.006367567650246
tài_xế,12,18,5.521460917862246
dương_tính,1,2,8.006367567650246
ma_tuý,3,4,6.907755278982137
csgt,3,8,6.907755278982137
tuýt,1,1,8.006367567650246
còi,2,2,7.313220387090301
303,26,28,4.748271029628765
cục,37,50,4.395449655006022
c08,1,2,8.006367567650246
tổ,7,9,6.060457418594933
công_tác,26,32,4.748271029628765
phòng,66,99,3.816712825623821
cảnh,29,35,4.639071737663773
tỉnh,145,191,3.029633825229672
sơn,45,66,4.199705077879927
la,22,33,4.915325114291931
phát_hiện,55,64,3.9990343824177756
lái,12,17,5.521460917862246
xe_khách,3,3,6.907755278982137
vi_phạm,22,31,4.915325114291931
nồng_độ,4,6,6.620073206530356
cồn,5,7,6.396929655216146
chất,10,19,5.703782474656201
biết_thân_thế,1,1,8.006367567650246
người_yêu,9,13,5.809142990314028
chồng,48,67,4.135166556742356
chán_nản,3,3,6.907755278982137
tươi_sáng,1,1,8.006367567650246
hối_hận,6,6,6.214608098422191
khuyên_nhủ,2,2,7.313220387090301
hoa_hậu,23,41,4.870873351721097
áo_dài,4,7,6.620073206530356
đàm,5,9,6.396929655216146
lưu_ly,1,2,8.006367567650246
thập_niên,2,2,7.313220387090301
theo_đuổi,7,8,6.060457418594933
nghề,26,31,4.748271029628765
tiếp_viên,6,9,6.214608098422191
hàng,149,183,3.0024212617047876
bố,33,46,4.509860006183766
hôn_nhân,12,16,5.521460917862246
giấu,6,7,6.214608098422191
đăng_quang,6,7,6.214608098422191
1995,2,2,7.313220387090301
công_việc,29,30,4.639071737663773
hàng_không,5,6,6.396929655216146
cuộc_sống,52,63,4.05512384906882
bình_yên,6,6,6.214608098422191
con_gái,17,28,5.173154223594031
quy_định,50,62,4.0943445622221
14,48,63,4.135166556742356
covid,14,20,5.367310238034988
19,26,33,4.748271029628765
danh_mục,4,5,6.620073206530356
bệnh,39,55,4.3428059215206005
nghề_nghiệp,9,12,5.809142990314028
hưởng,16,23,5.233778845410465
bảo_hiểm,20,37,5.0106352940962555
nội_dung,30,33,4.605170185988092
thông_tư,4,4,6.620073206530356
022023tt,1,1,8.006367567650246
byt,1,1,8.006367567650246
922023,1,1,8.006367567650246
y_tế,22,29,4.915325114291931
liên_tiếp,36,42,4.422848629194137
vụ,124,165,3.1860860020452098
học_sinh,47,75,4.156219965940188
ngộ_độc,13,18,5.44141821018871
thực_phẩm,28,38,4.674163057475043
hồi,17,18,5.173154223594031
chuông,4,4,6.620073206530356
cảnh_báo,40,46,4.31748811353631
trường_học,5,6,6.396929655216146
70,22,27,4.915325114291931
tiểu_học,13,14,5.44141821018871
kim_giang,4,5,6.620073206530356
thanh_xuân,5,6,6.396929655216146
hà_nội,140,194,3.0647251450409425
biểu_hiện,2,2,7.313220387090301
chuyến,23,30,4.870873351721097
dã_ngoại,2,2,7.313220387090301
dư_luận,15,17,5.298317366548036
cơ_sở,40,47,4.31748811353631
giáo_dục,21,27,4.961845129926823
xảy,52,57,4.05512384906882
tương_tự,4,4,6.620073206530356
hậu_quả,8,8,5.926926025970411
nghiêm_trọng,16,17,5.233778845410465
tù,6,9,6.214608098422191
10,102,128,3.3813947543659757
thanh_niên,22,32,4.915325114291931
biệt_danh,4,5,6.620073206530356
mèo,6,10,6.214608098422191
đen,19,23,5.061928588483807
án,24,27,4.8283137373023015
thi_hành,8,10,5.926926025970411
xong,13,14,5.44141821018871
bản_án,2,2,7.313220387090301
2,244,321,2.5091993423570447
tội,17,20,5.173154223594031
trộm_cắp,3,3,6.907755278982137
tài_sản,42,52,4.268697949366879
lê,43,55,4.245167451956684
đức,62,81,3.879233182605155
sn,6,6,6.214608098422191
quê_quán,1,1,8.006367567650246
hà_tĩnh,9,11,5.809142990314028
tái_phạm,1,1,8.006367567650246
thủ_đoạn,4,6,6.620073206530356
táo_tợn,2,2,7.313220387090301
liên_kết,9,13,5.809142990314028
tổ_chức,121,145,3.2105770220535055
chứng_chỉ,5,8,6.396929655216146
tiếng,22,30,4.915325114291931
gdđt,3,4,6.907755278982137
ban_hành,24,29,4.8283137373023015
hai,110,133,3.3058872018578307
quyết_định,81,100,3.611918412977808
phê_duyệt,13,15,5.44141821018871
ngoại_ngữ,3,3,6.907755278982137
dấu_hiệu,28,32,4.674163057475043
chỉ_điểm,1,1,8.006367567650246
ung_thư,23,41,4.870873351721097
1,249,327,2.488914671185539
khám,8,9,5.926926025970411
nam,302,410,2.295940550275377
hiện,50,52,4.0943445622221
gánh,5,6,6.396929655216146
điều_trị,12,14,5.521460917862246
nguy_cơ,40,45,4.31748811353631
tử_vong,34,52,4.480007043034085
đảm_bảo_an_toàn,1,1,8.006367567650246
tham_gia,45,53,4.199705077879927
hoạt_động,60,73,3.912023005428146
trải,49,57,4.11454726953962
nghiệm,25,33,4.787491742782046
nhà_trường,3,6,6.907755278982137
nghi,28,38,4.674163057475043
gióng,1,1,8.006367567650246
bảo_đảm,8,8,5.926926025970411
an_toàn,35,39,4.451019506160833
nguyễn,82,109,3.5996483203859935
thị,31,36,4.5723803631651005
tâm,9,13,5.809142990314028
lịch_sử,19,20,5.061928588483807
boxing,1,1,8.006367567650246
đấm,3,4,6.907755278982137
huy_chương,3,3,6.907755278982137
hâm_mộ,14,15,5.367310238034988
chờ_đợi,13,13,5.44141821018871
giải_boxing,1,1,8.006367567650246
nữ,110,166,3.3058872018578307
vô_địch,26,26,4.748271029628765
thế_giới,117,142,3.2441936328524905
2023,308,449,2.2762677846766723
thành_quả,2,2,7.313220387090301
vô_cùng,16,16,5.233778845410465
ngưỡng_mộ,13,13,5.44141821018871
đội_tuyển,25,27,4.787491742782046
thi_đấu,37,44,4.395449655006022
hồ,37,54,4.395449655006022
văn,60,78,3.912023005428146
cường,11,18,5.608472294851876
ngọc,22,31,4.915325114291931
nâng_đỡ,2,2,7.313220387090301
ca_sỹ,2,2,7.313220387090301
nhận_xét,3,3,6.907755278982137
điển_trai,3,3,6.907755278982137
sở_hữu,51,57,4.074541934925921
gu,6,6,6.214608098422191
ăn_mặc,4,4,6.620073206530356
sành_điệu,3,4,6.907755278982137
thương_tâm,3,3,6.907755278982137
cháu,14,17,5.367310238034988
bé,29,41,4.639071737663773
lạc,2,3,7.313220387090301
trẻ_em,10,16,5.703782474656201
khuyết_tật,4,6,6.620073206530356
quảng_trị,5,6,6.396929655216146
đ,1,1,8.006367567650246
khe,1,1,8.006367567650246
mây,9,15,5.809142990314028
siết,6,9,6.214608098422191
cổ,22,32,4.915325114291931
vợ,38,51,4.368781407923861
ngủ,12,16,5.521460917862246
gần_gũi,2,2,7.313220387090301
bị_cáo,9,10,5.809142990314028
lưu,16,23,5.233778845410465
tòa,22,29,4.915325114291931
tuyên,3,4,6.907755278982137
20,42,52,4.268697949366879
giết,11,15,5.608472294851876
xôn_xao,16,17,5.233778845410465
đồng,226,322,2.585832568377961
nai,14,17,5.367310238034988
bấm,7,16,6.060457418594933
4,213,282,2.645075401940822
xe_máy,27,36,4.710530701645918
siêu,45,60,4.199705077879927
vip,18,39,5.115995809754082
dân,111,128,3.2968373663379125
60b6,2,4,7.313220387090301
88,4,6,6.620073206530356
888,2,3,7.313220387090301
868,1,1,8.006367567650246
hạnh_phúc,26,33,4.748271029628765
kết_thúc,20,27,5.0106352940962555
kết,18,21,5.115995809754082
tố,14,18,5.367310238034988
nhài,1,1,8.006367567650246
sóng_gió,4,5,6.620073206530356
cặp,21,24,4.961845129926823
đôi,28,35,4.674163057475043
gia_đình,57,66,3.9633162998156966
ông_công,1,1,8.006367567650246
sống,72,91,3.7297014486341915
6,118,150,3.235682943184582
tác_hại,3,3,6.907755278982137
thoa,2,2,7.313220387090301
kem,4,6,6.620073206530356
chống,22,28,4.915325114291931
nắng,4,5,6.620073206530356
đều_đặn,4,6,6.620073206530356
làn,11,14,5.608472294851876
da,19,29,5.061928588483807
bảo_vệ,38,42,4.368781407923861
trước_tác_hại,1,1,8.006367567650246
tia,2,3,7.313220387090301
uv,1,1,8.006367567650246
trở_nên,15,15,5.298317366548036
sạm,1,1,8.006367567650246
nổi,16,19,5.233778845410465
mụn,3,4,6.907755278982137
lão_hóa,5,6,6.396929655216146
giá,137,210,3.0863866418221217
vé,19,31,5.061928588483807
máy_bay,16,23,5.233778845410465
dịp,17,21,5.173154223594031
304,7,13,6.060457418594933
chặng,5,5,6.396929655216146
8,57,71,3.9633162998156966
triệu,180,262,2.8134107167600364
đồngkhứ,1,1,8.006367567650246
lễ,36,41,4.422848629194137
15,36,42,4.422848629194137
thành_phố,62,74,3.879233182605155
du_lịch,54,98,4.017383521085972
trọng_điểm,5,6,6.396929655216146
thông_báo,50,69,4.0943445622221
truy_tìm,4,5,6.620073206530356
giám_đốc,30,41,4.605170185988092
trung,124,166,3.1860860020452098
quốc,133,181,3.116018439428493
sát_hại,18,30,5.115995809754082
kế_toán,13,19,5.44141821018871
bình,87,126,3.540459448995663
dương,53,74,4.036075654098125
phát,17,22,5.173154223594031
án_mạng,4,5,6.620073206530356
đàn_ông,41,57,4.292795500945939
rời,27,36,4.710530701645918
công_ty,129,181,3.1465551632885744
tải,13,14,5.44141821018871
màu,17,18,5.173154223594031
trắng,15,21,5.298317366548036
thực,11,11,5.608472294851876
quyền,36,49,4.422848629194137
chi_phối,3,3,6.907755278982137
khái_niệm,2,3,7.313220387090301
ngày_nay,7,7,6.060457418594933
mosuo,1,1,8.006367567650246
mệnh_danh,7,7,6.060457418594933
đóa,1,1,8.006367567650246
hồng,33,42,4.509860006183766
văn_hóa,26,44,4.748271029628765
mẫu_hệ,1,1,8.006367567650246
phương,33,42,4.509860006183766
đông,59,73,3.928830123744527
mẹ,48,70,4.135166556742356
sinh,35,43,4.451019506160833
thái_cực,2,2,7.313220387090301
đối_lập,4,5,6.620073206530356
ước,7,8,6.060457418594933
đứa,8,13,5.926926025970411
con_thứ,4,4,6.620073206530356
góc,12,13,5.521460917862246
mãn_nguyện,3,3,6.907755278982137
ước_mơ,8,9,5.926926025970411
nhỏ_nhoi,1,1,8.006367567650246
mẫu,32,39,4.54063166485052
tham_khảo,5,5,6.396929655216146
tính_toán,5,5,6.396929655216146
chi,53,72,4.036075654098125
ly,4,5,6.620073206530356
tối_ưu,5,6,6.396929655216146
khoản,36,48,4.422848629194137
phí,20,30,5.0106352940962555
xây_dựng,71,89,3.7436876906089314
rẻ,22,25,4.915325114291931
100,36,46,4.422848629194137
kiếp,2,2,7.313220387090301
con_mẹ,1,1,8.006367567650246
hoàn_cảnh,8,9,5.926926025970411
bất_lực,6,7,6.214608098422191
trách,4,4,6.620073206530356
thua_thiệt,1,1,8.006367567650246
chúng_bạn,1,1,8.006367567650246
kiểu,23,30,4.870873351721097
dậy,14,17,5.367310238034988
hại,18,20,5.115995809754082
thức,13,16,5.44141821018871
khuya,1,1,8.006367567650246
đột_tử,1,1,8.006367567650246
chân_lý,2,2,7.313220387090301
sức_khỏe,46,50,4.177726171161152
mù_quáng,1,1,8.006367567650246
chạy,31,40,4.5723803631651005
xem_xét,15,16,5.298317366548036
